sku,price
426098,"23,37"
426210,"23,37"
426197,"23,37"
426067,"97,17"
426081,"23,37"
426609,"13,53"
425701,"9,84"
425800,"13,53"
426500,"11,07"
426708,"11,07"
425503,"12,30"
425602,"13,53"
426906,"17,22"
426777,"23,37"
426623,"31,98"
426760,"23,37"
426616,"29,52"
426647,"61,50"
426227,"17,22"
426258,"11,07"
426234,"11,07"
426265,"29,52"
426241,"11,07"
426807,"11,07"
426791,"23,37"
426784,"23,37"
561201,"170,97"
975305,"3688,77"
843598,"4918,77"
210031,"1966,77"
210048,"2089,77"
210086,"2458,77"
210918,"4303,77"
210000,"2458,77"
210925,"6210,27"
210017,"3688,77"
210932,"10084,77"
210949,"17587,77"
570012,"45,51"
570104,"49,20"
570159,"736,77"
210215,"2089,77"
210222,"2458,77"
210246,"3787,17"
970294,"2089,77"
222805,"712,17"
210956,"20908,77"
597958,"67,65"
1010370,"254,61"
1010375,"630,99"
1010363,"630,99"
1010364,"630,99"
1010362,"643,29"
1010590,"643,29"
1010592,"643,29"
596777,"41,82"
695708,"195,57"
271520,"539,97"
271599,"2089,77"
810989,"195,57"
810965,"134,07"
593356,"41,82"
961117,"97,17"
961124,"47,97"
560365,"81,18"
621325,"28,29"
621332,"35,67"
621295,"25,83"
621301,"30,75"
621318,"23,37"
63391,"9,84"
76102,"6,52"
76104,"8,98"
76105,"10,70"
36140,"88,56"
18316,"118,08"
560327,"115,62"
225806,"6394,77"
239780,"982,77"
239551,"687,57"
239209,"404,67"
239391,"490,77"
239421,"1105,77"
239230,"490,77"
239698,"1597,77"
239322,"2335,77"
239346,"4672,77"
239711,"1351,77"
281352,"1966,77"
280058,"3012,27"
280065,"3012,27"
280034,"4180,77"
280041,"3688,77"
280133,"9838,77"
280140,"9100,77"
280089,"10945,77"
280072,"11437,77"
281710,"835,17"
281444,"2089,77"
281369,"4857,27"
281376,"4918,77"
225936,"8485,77"
226223,"5902,77"
226230,"7132,77"
226247,"10207,77"
225707,"7686,27"
227589,"7378,77"
225882,"9838,77"
227381,"5779,77"
226094,"9592,77"
225899,"11437,77"
237687,"12298,77"
596982,"27,06"
596975,"39,36"
551998,"121,77"
1180080,"261,99"
1050980,"6649,38"
1051000,"10613,67"
1050834,"12654,24"
1050853,"14694,81"
1050832,"10239,75"
1050850,"10975,29"
807019,"84,87"
802083,"195,57"
802038,"87,33"
802021,"116,85"
802045,"88,56"
802052,"81,18"
807026,"57,81"
807033,"54,12"
807057,"57,81"
807071,"56,58"
807002,"146,37"
566480,"17,22"
566206,"163,59"
273906,"613,77"
919200,"70,11"
273869,"442,80"
273876,"429,27"
273883,"349,32"
273890,"350,55"
273852,"343,17"
273845,"408,36"
273913,"662,97"
273838,"859,77"
272404,"1597,77"
272602,"1228,77"
272701,"1105,77"
270158,"244,77"
270165,"293,97"
270172,"330,87"
270080,"539,97"
270097,"367,77"
270141,"527,67"
270066,"453,87"
270196,"343,17"
567616,"4,92"
567630,"6,15"
567654,"8,61"
518700,"28,29"
810460,"109,47"
48024,"14,27"
513705,"47,97"
513712,"72,57"
513736,"35,67"
513743,"84,87"
513750,"97,17"
820209,"31,98"
820308,"44,28"
820407,"54,12"
250143,"39,36"
808153,"30,75"
808108,"24,60"
233924,"4057,77"
233931,"6025,77"
233795,"6370,17"
237564,"6763,77"
237595,"7378,77"
237588,"4303,77"
237557,"4918,77"
943434,"872,07"
209080,"6148,77"
233900,"2335,77"
226568,"2458,77"
233917,"3442,77"
235829,"3688,77"
235836,"4918,77"
811191,"306,27"
617779,"423,12"
617786,"485,85"
617861,"137,76"
617854,"648,21"
617878,"821,64"
617809,"769,98"
617823,"984,00"
617830,"704,79"
617847,"918,81"
618141,"908,97"
618158,"933,57"
618165,"1056,57"
618172,"1105,77"
617724,"109,47"
617113,"227,55"
617120,"271,83"
617816,"91,02"
618028,"121,77"
617137,"287,82"
617144,"356,70"
617151,"205,41"
617182,"258,30"
617168,"227,55"
617199,"227,55"
618134,"675,27"
617793,"264,45"
618035,"91,02"
618042,"97,17"
618059,"121,77"
618066,"183,27"
618073,"170,97"
618080,"207,87"
618097,"195,57"
618103,"244,77"
617175,"220,17"
618196,"195,57"
617694,"281,67"
617212,"134,07"
617236,"195,57"
856215,"35,67"
29810405,"44,28"
29810415,"61,50"
523919,"183,27"
856208,"44,28"
855799,"29,52"
29810407,"61,50"
29810413,"44,28"
523957,"43,05"
271797,"9838,77"
785324,"54,12"
441503,"14,76"
593097,"14,76"
596968,"17,22"
596586,"33,21"
596579,"33,21"
596562,"33,21"
596555,"47,97"
640104,"33,21"
640401,"60,27"
640500,"66,42"
640609,"72,57"
640708,"84,87"
640807,"97,17"
640203,"47,97"
640913,"127,92"
640920,"150,06"
529201,"31,98"
528105,"19,68"
528204,"24,60"
529041,"35,67"
541104,"31,98"
541203,"34,44"
541302,"44,28"
541500,"66,42"
529300,"34,44"
564103,"13,53"
564400,"15,99"
564158,"12,30"
564202,"11,07"
564455,"19,68"
526309,"22,14"
542507,"52,89"
855539,"47,97"
855492,"41,82"
563007,"25,83"
563106,"34,44"
563205,"52,89"
525005,"22,14"
566596,"18,45"
566534,"18,45"
659700,"46,74"
659809,"63,96"
229835,"121,77"
221280,"232,47"
221297,"244,77"
222614,"134,07"
222676,"281,67"
664223,"47,97"
664278,"47,97"
664216,"47,97"
664209,"47,97"
664292,"47,97"
664339,"47,97"
664285,"47,97"
274231,"2458,77"
201619,"9088,47"
1050769,"20480,73"
630402,"847,47"
630419,"60,27"
224847,"958,17"
226414,"933,57"
226407,"441,57"
224830,"174,66"
210864,"736,77"
975671,"1536,27"
976159,"847,47"
843468,"97,17"
843451,"97,17"
843499,"97,17"
224403,"1007,37"
224410,"29,52"
598047,"27,06"
597965,"41,82"
597972,"60,27"
597989,"27,06"
899991,"102,09"
513842,"195,57"
513835,"207,87"
208649,"60,27"
208670,"47,97"
677018,"78,72"
677834,"62,73"
677810,"79,95"
677827,"84,87"
805411,"248,46"
805404,"248,46"
805428,"248,46"
805435,"248,46"
805381,"248,46"
805350,"248,46"
805374,"248,46"
805398,"248,46"
805817,"248,46"
805848,"248,46"
805794,"248,46"
805800,"248,46"
805633,"437,88"
805572,"437,88"
805619,"437,88"
805657,"437,88"
805640,"437,88"
805596,"437,88"
805664,"437,88"
805626,"437,88"
805770,"248,46"
805763,"248,46"
805725,"248,46"
805718,"248,46"
805749,"248,46"
805695,"248,46"
805688,"248,46"
805480,"248,46"
805473,"248,46"
805527,"248,46"
805565,"248,46"
805510,"248,46"
805442,"248,46"
805466,"248,46"
805459,"248,46"
805886,"248,46"
805947,"248,46"
805893,"248,46"
805909,"248,46"
596715,"19,68"
596722,"19,68"
593332,"35,67"
596654,"18,45"
596494,"47,97"
596487,"84,87"
596920,"13,53"
596630,"18,45"
596647,"18,45"
567104,"8,61"
567203,"18,45"
567302,"27,06"
567401,"34,44"
567500,"47,97"
516102,"68,88"
516201,"97,17"
516300,"161,13"
567821,"20,91"
567838,"24,60"
567845,"29,52"
567852,"46,74"
567814,"14,76"
226483,"12790,77"
226360,"11437,77"
222911,"8854,77"
222928,"9838,77"
222935,"10146,27"
222867,"6714,57"
222874,"7747,77"
222898,"10699,77"
961131,"47,97"
520611,"116,85"
520628,"141,45"
520604,"109,47"
73011,"7,38"
282670,"958,17"
282687,"1130,37"
282168,"1007,37"
282281,"1228,77"
222836,"3688,77"
222843,"4918,77"
226292,"12237,27"
226261,"6025,77"
222829,"3073,77"
222140,"830,25"
221198,"1105,77"
221327,"1154,97"
221341,"1388,67"
221334,"1265,67"
224373,"1782,27"
934012,"158,67"
224328,"1277,97"
224335,"2028,27"
224397,"2372,67"
224380,"2901,57"
224052,"2913,87"
224359,"2453,85"
3030618,"1211,55"
3030625,"1547,34"
3030634,"2632,20"
3030672,"2258,28"
3030676,"3432,93"
3030684,"2632,20"
3030691,"4104,51"
3030717,"3846,21"
3030718,"4104,51"
221419,"453,87"
224014,"2212,77"
221181,"453,87"
3030506,"42617,04"
557891,"36,90"
557990,"40,59"
593165,"186,96"
425992,"114,39"
471500,"293,97"
471524,"109,47"
513804,"2827,77"
513811,"3934,77"
774649,"13,65"
784389,"44,28"
784334,"41,82"
784327,"60,27"
786239,"51,66"
560266,"79,95"
400029,"36,90"
561706,"13,53"
561713,"12,30"
561720,"11,07"
565643,"17,22"
565650,"27,06"
561492,"6,15"
783153,"11,07"
783160,"14,76"
783177,"23,37"
783627,"14,76"
784372,"44,28"
784433,"56,58"
564561,"30,75"
328514,"195,57"
784426,"47,97"
565605,"49,20"
565612,"46,74"
784365,"47,97"
774663,"17,47"
784419,"41,82"
784396,"59,04"
566275,"88,56"
505373,"306,27"
505366,"392,37"
517109,"11,07"
517208,"15,99"
517307,"22,14"
517406,"27,06"
517604,"30,75"
622858,"63,96"
622810,"40,59"
622827,"47,97"
622834,"55,35"
622841,"59,04"
621288,"33,21"
530108,"11,07"
530207,"19,68"
530306,"20,91"
530405,"30,75"
530504,"43,05"
530603,"47,97"
530702,"55,35"
567562,"84,87"
567579,"109,47"
561560,"27,06"
561577,"56,58"
561584,"109,47"
566176,"77,49"
799475,"46,74"
799482,"60,27"
786765,"7,63"
798805,"54,12"
799383,"41,82"
799390,"18,45"
784778,"11,07"
784761,"17,22"
784754,"33,21"
784747,"60,27"
784730,"124,23"
787267,"12,42"
73609,"10,33"
505335,"55,35"
505342,"72,57"
505359,"109,47"
564585,"17,22"
564578,"9,84"
564592,"23,37"
561447,"59,04"
785560,"44,28"
785577,"76,26"
505311,"72,57"
505328,"109,47"
207451,"3196,77"
979983,"1105,77"
469620,"35,67"
469644,"35,67"
469668,"47,97"
469767,"35,67"
469781,"47,97"
469804,"55,35"
469828,"72,57"
469576,"47,97"
469569,"60,27"
469552,"84,87"
469545,"121,77"
469682,"35,67"
469705,"47,97"
469729,"47,97"
469743,"60,27"
469637,"35,67"
469651,"35,67"
469675,"47,97"
469613,"47,97"
469606,"60,27"
469590,"84,87"
469583,"121,77"
469774,"35,67"
469798,"47,97"
469811,"55,35"
469835,"72,57"
469699,"35,67"
469712,"47,97"
469736,"47,97"
469750,"60,27"
297421,"66,42"
297438,"63,96"
297445,"92,25"
297452,"121,77"
297469,"39,36"
297476,"51,66"
297414,"41,82"
596739,"15,99"
596944,"13,53"
596951,"13,53"
235034,"24192,87"
235041,"28788,15"
232606,"12456,21"
235027,"17368,83"
239506,"318,57"
239605,"576,87"
696064,"613,77"
588208,"19,68"
588215,"44,28"
586907,"92,25"
588406,"22,14"
621202,"28,29"
621219,"34,44"
232965,"2458,77"
232972,"2704,77"
232989,"3073,77"
232996,"3319,77"
233948,"2458,77"
233955,"3073,77"
233986,"3688,77"
233993,"3442,77"
233979,"3073,77"
232903,"2335,77"
232910,"2704,77"
232927,"3073,77"
877548,"54,12"
877531,"54,12"
877524,"52,89"
877517,"52,89"
877500,"54,12"
